name,pokedex_number,abilities,attack,capture_rate,classfication,defense,height_m,hp,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Politoed,186,"['Water Absorb', 'Damp', 'Drizzle']",75,45,Frog Pokémon,75,1.1,90,90,100,70,water,,33.9,2,0
Gligar,207,"['Hyper Cutter', 'Sand Veil', 'Immunity']",75,60,Flyscorpion Pokémon,105,1.1,65,35,65,85,ground,flying,64.8,2,0
Piloswine,221,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,75,Swine Pokémon,80,1.1,100,60,60,50,ice,ground,55.8,2,0
Donphan,232,"['Sturdy', 'Sand Veil']",120,60,Armor Pokémon,120,1.1,90,60,60,50,ground,,120,2,0
Ledyba,165,"['Swarm', 'Early Bird', 'Rattled']",20,255,Five Star Pokémon,30,1,40,40,80,55,bug,flying,10.8,2,0
Umbreon,197,"['Synchronize', 'Inner Focus']",65,45,Moonlight Pokémon,110,1,95,60,130,65,dark,,27,2,0
Chikorita,152,"['Overgrow', 'Leaf Guard']",49,45,Leaf Pokémon,65,0.9,45,49,65,45,grass,,6.4,2,0
Quilava,156,"['Blaze', 'Flash Fire']",64,45,Volcano Pokémon,58,0.9,58,80,65,80,fire,,19,2,0
Espeon,196,"['Synchronize', 'Magic Bounce']",65,45,Sun Pokémon,60,0.9,65,130,95,110,psychic,,26.5,2,0
Sneasel,215,"['Inner Focus', 'Keen Eye', 'Pickpocket']",95,60,Sharp Claw Pokémon,55,0.9,55,35,75,115,dark,ice,28,2,0
Octillery,224,"['Suction Cups', 'Sniper', 'Moody']",105,75,Jet Pokémon,75,0.9,75,105,75,45,water,,28.5,2,0
Delibird,225,"['Vital Spirit', 'Hustle', 'Insomnia']",55,45,Delivery Pokémon,45,0.9,45,65,45,75,ice,flying,16,2,0
Sentret,161,"['Run Away', 'Keen Eye', 'Frisk']",46,255,Scout Pokémon,34,0.8,35,35,45,20,normal,,6,2,0
Flaaffy,180,"['Static', 'Plus']",55,120,Wool Pokémon,55,0.8,70,80,60,45,electric,,13.3,2,0
Azumarill,184,"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,75,Aquarabbit Pokémon,80,0.8,100,60,80,50,water,fairy,28.5,2,0
Jumpluff,189,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,45,Cottonweed Pokémon,70,0.8,75,55,95,110,grass,flying,3,2,0
Aipom,190,"['Run Away', 'Pickup', 'Skill Link']",70,45,Long Tail Pokémon,55,0.8,55,40,55,85,normal,,11.5,2,0
Sunflora,192,"['Chlorophyll', 'Solar Power', 'Early Bird']",75,120,Sun Pokémon,55,0.8,75,105,85,30,grass,,8.5,2,0
Magcargo,219,"['Magma Armor', 'Flame Body', 'Weak Armor']",50,75,Lava Pokémon,120,0.8,60,90,80,30,fire,rock,55,2,0
Hoothoot,163,"['Insomnia', 'Keen Eye', 'Tinted Lens']",30,255,Owl Pokémon,30,0.7,60,36,56,50,normal,flying,21.2,2,0
Misdreavus,200,['Levitate'],60,45,Screech Pokémon,60,0.7,60,85,85,85,ghost,,1,2,0
Slugma,218,"['Magma Armor', 'Flame Body', 'Weak Armor']",40,190,Lava Pokémon,40,0.7,40,70,40,20,fire,,35,2,0
Tyrogue,236,"['Guts', 'Steadfast', 'Vital Spirit']",35,75,Scuffle Pokémon,35,0.7,35,35,35,35,fighting,,21,2,0
Magby,240,"['Flame Body', 'Vital Spirit']",75,45,Live Coal Pokémon,37,0.7,45,70,55,83,fire,,21.4,2,0
Totodile,158,"['Torrent', 'Sheer Force']",65,45,Big Jaw Pokémon,64,0.6,50,44,48,43,water,,9.5,2,0
Togetic,176,"['Hustle', 'Serene Grace', 'Super Luck']",40,75,Happiness Pokémon,85,0.6,55,80,105,40,fairy,flying,3.2,2,0
Mareep,179,"['Static', 'Plus']",40,235,Wool Pokémon,40,0.6,55,65,45,35,electric,,7.8,2,0
Skiploom,188,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",45,120,Cottonweed Pokémon,50,0.6,55,45,65,80,grass,flying,1,2,0
Pineco,204,"['Sturdy', 'Overcoat']",65,190,Bagworm Pokémon,90,0.6,50,35,35,15,bug,,7.2,2,0
Snubbull,209,"['Intimidate', 'Run Away', 'Rattled']",80,190,Fairy Pokémon,50,0.6,60,40,40,30,fairy,,7.8,2,0
Shuckle,213,"['Sturdy', 'Gluttony', 'Contrary']",10,190,Mold Pokémon,230,0.6,20,10,230,5,bug,rock,20.5,2,0
Teddiursa,216,"['Pickup', 'Quick Feet', 'Honey Gather']",80,120,Little Bear Pokémon,50,0.6,60,50,50,40,normal,,8.8,2,0
Corsola,222,"['Hustle', 'Natural Cure', 'Regenerator']",55,60,Coral Pokémon,95,0.6,65,65,95,35,water,rock,5,2,0
Remoraid,223,"['Hustle', 'Sniper', 'Moody']",65,190,Jet Pokémon,35,0.6,35,65,35,65,water,,12,2,0
Houndour,228,"['Early Bird', 'Flash Fire', 'Unnerve']",60,120,Dark Pokémon,30,0.6,45,80,50,65,dark,fire,10.8,2,0
Porygon2,233,"['Trace', 'Download', 'Analytic']",80,45,Virtual Pokémon,90,0.6,85,105,95,60,normal,,32.5,2,0
Elekid,239,"['Static', 'Vital Spirit']",63,45,Electric Pokémon,37,0.6,45,65,55,95,electric,,23.5,2,0
Larvitar,246,"['Guts', 'Sand Veil']",64,45,Rock Skin Pokémon,50,0.6,50,45,50,41,rock,ground,72,2,0
Celebi,251,['Natural Cure'],100,45,Time Travel Pokémon,100,0.6,100,100,100,100,psychic,grass,5,2,1
Cyndaquil,155,"['Blaze', 'Flash Fire']",52,45,Fire Mouse Pokémon,43,0.5,39,60,50,65,fire,,7.9,2,0
Spinarak,167,"['Swarm', 'Insomnia', 'Sniper']",60,255,String Spit Pokémon,40,0.5,40,40,40,30,bug,poison,8.5,2,0
Chinchou,170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",38,190,Angler Pokémon,38,0.5,75,56,56,67,water,electric,12,2,0
Murkrow,198,"['Insomnia', 'Super Luck', 'Prankster']",85,30,Darkness Pokémon,42,0.5,60,85,42,91,dark,flying,2.1,2,0
Unown,201,['Levitate'],72,225,Symbol Pokémon,48,0.5,48,72,48,48,psychic,,5,2,0
Qwilfish,211,"['Poison Point', 'Swift Swim', 'Intimidate']",95,45,Balloon Pokémon,85,0.5,65,55,55,85,water,poison,3.9,2,0
Phanpy,231,"['Pickup', 'Sand Veil']",60,120,Long Nose Pokémon,60,0.5,90,40,40,40,ground,,33.5,2,0
Bellossom,182,"['Chlorophyll', 'Healer']",80,45,Flower Pokémon,95,0.4,75,90,100,50,grass,,5.8,2,0
Marill,183,"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,190,Aquamouse Pokémon,50,0.4,70,20,50,40,water,fairy,8.5,2,0
Hoppip,187,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,255,Cottonweed Pokémon,40,0.4,35,35,55,50,grass,flying,0.5,2,0
Wooper,194,"['Damp', 'Water Absorb', 'Unaware']",45,255,Water Fish Pokémon,45,0.4,55,25,25,15,water,ground,8.5,2,0
Swinub,220,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,225,Pig Pokémon,40,0.4,50,30,30,50,ice,ground,6.5,2,0
Smoochum,238,"['Oblivious', 'Forewarn', 'Hydration']",30,45,Kiss Pokémon,15,0.4,45,85,65,65,ice,psychic,6,2,0
Pichu,172,"['Static', 'Lightningrod']",40,190,Tiny Mouse Pokémon,15,0.3,20,35,35,60,electric,,2,2,0
Cleffa,173,"['Cute Charm', 'Magic Guard', 'Friend Guard']",25,150,Star Shape Pokémon,28,0.3,50,45,55,15,fairy,,3,2,0
Igglybuff,174,"['Cute Charm', 'Competitive', 'Friend Guard']",30,170,Balloon Pokémon,15,0.3,90,40,20,15,normal,fairy,1,2,0
Togepi,175,"['Hustle', 'Serene Grace', 'Super Luck']",20,190,Spike Ball Pokémon,65,0.3,35,40,65,20,fairy,,1.5,2,0
Sunkern,191,"['Chlorophyll', 'Solar Power', 'Early Bird']",30,235,Seed Pokémon,30,0.3,30,30,30,30,grass,,1.8,2,0
Natu,177,"['Synchronize', 'Early Bird', 'Magic Bounce']",50,190,Little Bird Pokémon,45,0.2,40,70,45,70,psychic,flying,2,2,0
Wailord,321,"['Water Veil', 'Oblivious', 'Pressure']",90,60,Float Whale Pokémon,45,14.5,170,90,45,60,water,,398,3,0
Rayquaza,384,['Air Lock'],180,45,Sky High Pokémon,100,7,105,180,100,115,dragon,flying,206.5,3,1
Milotic,350,"['Marvel Scale', 'Competitive', 'Cute Charm']",60,60,Tender Pokémon,79,6.2,95,100,125,81,water,,162,3,0
Kyogre,382,['Drizzle'],150,3,Sea Basin Pokémon,90,4.5,100,180,160,90,water,,352,3,1
Groudon,383,['Drought'],180,3,Continent Pokémon,160,3.5,100,150,90,90,ground,,950,3,1
Seviper,336,"['Shed Skin', 'Infiltrator']",100,90,Fang Snake Pokémon,60,2.7,73,100,60,65,poison,,52.5,3,0
Hariyama,297,"['Thick Fat', 'Guts', 'Sheer Force']",120,200,Arm Thrust Pokémon,60,2.3,144,40,60,50,fighting,,253.8,3,0
Aggron,306,"['Sturdy', 'Rock Head', 'Heavy Metal']",140,45,Iron Armor Pokémon,230,2.1,70,60,80,50,steel,rock,360,3,0
Slaking,289,['Truant'],160,45,Lazy Pokémon,100,2,150,95,65,100,normal,,130.5,3,0
Wailmer,320,"['Water Veil', 'Oblivious', 'Pressure']",70,125,Ball Whale Pokémon,35,2,130,70,35,60,water,,130,3,0
Flygon,330,['Levitate'],100,45,Mystic Pokémon,80,2,80,80,80,100,ground,dragon,82,3,0
Tropius,357,"['Chlorophyll', 'Solar Power', 'Harvest']",68,200,Fruit Pokémon,83,2,99,72,87,51,grass,flying,100,3,0
Latios,381,['Levitate'],130,3,Eon Pokémon,100,2,80,160,120,110,dragon,psychic,60,3,1
Blaziken,257,"['Blaze', 'Speed Boost']",160,45,Blaze Pokémon,80,1.9,80,130,80,100,fire,fighting,52,3,0
Camerupt,323,"['Magma Armor', 'Solid Rock', 'Anger Point']",120,150,Eruption Pokémon,100,1.9,70,145,105,20,fire,ground,220,3,0
Registeel,379,"['Clear Body', 'Light Metal']",75,3,Iron Pokémon,150,1.9,80,75,150,50,steel,,205,3,1
Sharpedo,319,"['Rough Skin', 'Speed Boost']",140,60,Brutal Pokémon,70,1.8,70,110,65,105,water,dark,88.8,3,0
Gorebyss,368,"['Swift Swim', 'Hydration']",84,60,South Sea Pokémon,105,1.8,55,114,75,52,water,,22.6,3,0
Regice,378,"['Clear Body', 'Ice Body']",50,3,Iceberg Pokémon,100,1.8,80,100,200,50,ice,,175,3,1
Sceptile,254,"['Overgrow', 'Unburden']",110,45,Forest Pokémon,75,1.7,70,145,85,145,grass,,52.2,3,0
Swalot,317,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",73,75,Poison Bag Pokémon,83,1.7,100,73,83,55,poison,,80,3,0
Huntail,367,"['Swift Swim', 'Water Veil']",104,60,Deep Sea Pokémon,105,1.7,55,94,75,52,water,,27,3,0
Regirock,377,"['Clear Body', 'Sturdy']",100,3,Rock Peak Pokémon,200,1.7,80,50,100,50,rock,,230,3,1
Deoxys,386,['Pressure'],95,3,DNA Pokémon,90,1.7,50,95,90,180,psychic,,60.8,3,1
Gardevoir,282,"['Synchronize', 'Trace', 'Telepathy']",85,45,Embrace Pokémon,65,1.6,68,165,135,100,psychic,fairy,48.4,3,0
Dusclops,356,"['Pressure', 'Frisk']",70,90,Beckon Pokémon,130,1.6,40,60,130,25,ghost,,30.6,3,0
Metagross,376,"['Clear Body', 'Light Metal']",145,3,Iron Leg Pokémon,150,1.6,80,105,110,110,steel,psychic,550,3,0
Swampert,260,"['Torrent', 'Damp']",150,45,Mud Fish Pokémon,110,1.5,100,95,110,70,water,ground,81.9,3,0
Ludicolo,272,"['Swift Swim', 'Rain Dish', 'Own Tempo']",70,45,Carefree Pokémon,70,1.5,80,90,100,70,water,grass,55,3,0
Exploud,295,"['Soundproof', 'Scrappy']",91,45,Loud Noise Pokémon,63,1.5,104,91,73,68,normal,,84,3,0
Manectric,310,"['Static', 'Lightningrod', 'Minus']",75,45,Discharge Pokémon,80,1.5,70,135,80,135,electric,,40.2,3,0
Claydol,344,['Levitate'],70,90,Clay Doll Pokémon,105,1.5,60,70,120,75,ground,psychic,108,3,0
Cradily,346,"['Suction Cups', 'Storm Drain']",81,45,Barnacle Pokémon,97,1.5,86,81,107,43,rock,grass,60.4,3,0
Armaldo,348,"['Battle Armor', 'Swift Swim']",125,45,Plate Pokémon,100,1.5,75,70,80,45,rock,bug,68.2,3,0
Glalie,362,"['Inner Focus', 'Ice Body', 'Moody']",120,75,Face Pokémon,80,1.5,80,120,80,100,ice,,256.5,3,0
Salamence,373,"['Intimidate', 'Moxie']",145,45,Dragon Pokémon,130,1.5,95,120,90,120,dragon,flying,102.6,3,0
Vigoroth,288,['Vital Spirit'],80,120,Wild Monkey Pokémon,80,1.4,80,55,55,90,normal,,46.5,3,0
Walrein,365,"['Thick Fat', 'Ice Body', 'Oblivious']",80,45,Ice Break Pokémon,90,1.4,110,95,90,65,ice,water,150.6,3,0
Latias,380,['Levitate'],100,3,Eon Pokémon,120,1.4,80,140,150,110,dragon,psychic,40,3,1
Shiftry,275,"['Chlorophyll', 'Early Bird', 'Pickpocket']",100,45,Wickid Pokémon,60,1.3,90,90,60,80,grass,dark,59.6,3,0
Medicham,308,"['Pure Power', 'Telepathy']",100,90,Meditate Pokémon,85,1.3,60,80,85,100,fighting,psychic,31.5,3,0
Cacturne,332,"['Sand Veil', 'Water Absorb']",115,60,Scarecrow Pokémon,60,1.3,70,115,60,55,grass,dark,77.4,3,0
Zangoose,335,"['Immunity', 'Toxic Boost']",115,90,Cat Ferret Pokémon,60,1.3,73,60,60,90,normal,,40.3,3,0
Dustox,269,"['Shield Dust', 'Compoundeyes']",50,45,Poison Moth Pokémon,70,1.2,60,50,90,65,bug,poison,31.6,3,0
Lombre,271,"['Swift Swim', 'Rain Dish', 'Own Tempo']",50,120,Jolly Pokémon,50,1.2,60,60,70,50,water,grass,32.5,3,0
Pelipper,279,"['Keen Eye', 'Drizzle', 'Rain Dish']",50,45,Water Bird Pokémon,100,1.2,60,95,70,65,water,flying,28,3,0
Breloom,286,"['Effect Spore', 'Poison Heal', 'Technician']",130,90,Mushroom Pokémon,80,1.2,60,60,60,70,grass,fighting,39.2,3,0
Solrock,338,['Levitate'],95,45,Meteorite Pokémon,85,1.2,90,55,65,70,rock,psychic,154,3,0
Absol,359,"['Pressure', 'Super Luck', 'Justified']",150,30,Disaster Pokémon,60,1.2,65,115,60,115,dark,,47,3,0
Metang,375,"['Clear Body', 'Light Metal']",75,3,Iron Claw Pokémon,100,1.2,60,55,80,50,steel,psychic,202.5,3,0
Delcatty,301,"['Cute Charm', 'Normalize', 'Wonder Skin ']",65,60,Prim Pokémon,65,1.1,70,55,55,90,normal,,32.6,3,0
Spinda,327,"['Own Tempo', 'Tangled Feet', 'Contrary']",60,255,Spot Panda Pokémon,60,1.1,60,60,60,60,normal,,5,3,0
Vibrava,329,['Levitate'],70,120,Vibration Pokémon,50,1.1,50,50,50,70,ground,dragon,15.3,3,0
Altaria,334,"['Natural Cure', 'Cloud Nine']",110,45,Humming Pokémon,110,1.1,75,110,105,80,dragon,flying,20.6,3,0
Crawdaunt,342,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",120,155,Rogue Pokémon,85,1.1,63,90,55,55,water,dark,32.8,3,0
Banette,354,"['Insomnia', 'Frisk', 'Cursed Body']",165,45,Marionette Pokémon,75,1.1,64,93,83,75,ghost,,12.5,3,0
Sealeo,364,"['Thick Fat', 'Ice Body', 'Oblivious']",60,120,Ball Roll Pokémon,70,1.1,90,75,70,45,ice,water,87.6,3,0
Shelgon,372,"['Rock Head', 'Overcoat']",95,45,Endurance Pokémon,100,1.1,65,60,50,50,dragon,,110.5,3,0
Mightyena,262,"['Intimidate', 'Quick Feet', 'Moxie']",90,127,Bite Pokémon,70,1,70,60,60,70,dark,,37,3,0
Beautifly,267,"['Swarm', 'Rivalry']",70,45,Butterfly Pokémon,50,1,60,100,50,65,bug,flying,28.4,3,0
Nuzleaf,274,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,120,Wily Pokémon,40,1,70,60,40,60,grass,dark,28,3,0
Loudred,294,"['Soundproof', 'Scrappy']",71,120,Big Voice Pokémon,43,1,84,71,43,48,normal,,40.5,3,0
Makuhita,296,"['Thick Fat', 'Guts', 'Sheer Force']",60,180,Guts Pokémon,30,1,72,20,30,25,fighting,,86.4,3,0
Nosepass,299,"['Sturdy', 'Magnet Pull', 'Sand Force']",45,255,Compass Pokémon,135,1,30,45,90,30,rock,,97,3,0
Lunatone,337,['Levitate'],55,45,Meteorite Pokémon,65,1,90,95,85,70,rock,psychic,168,3,0
Lileep,345,"['Suction Cups', 'Storm Drain']",41,45,Sea Lily Pokémon,77,1,66,61,87,23,rock,grass,23.8,3,0
Kecleon,352,"['Color Change', 'Protean']",90,200,Color Swap Pokémon,70,1,60,60,120,40,normal,,22,3,0
Relicanth,369,"['Swift Swim', 'Rock Head', 'Sturdy']",90,25,Longevity Pokémon,130,1,100,45,65,55,water,rock,23.4,3,0
Grovyle,253,"['Overgrow', 'Unburden']",65,45,Wood Gecko Pokémon,45,0.9,50,85,65,95,grass,,21.6,3,0
Combusken,256,"['Blaze', 'Speed Boost']",85,45,Young Fowl Pokémon,60,0.9,60,85,60,55,fire,fighting,19.5,3,0
Lairon,305,"['Sturdy', 'Rock Head', 'Heavy Metal']",90,90,Iron Armor Pokémon,140,0.9,60,50,50,40,steel,rock,120,3,0
Grumpig,326,"['Thick Fat', 'Own Tempo', 'Gluttony']",45,60,Manipulate Pokémon,65,0.9,80,90,110,80,psychic,,71.5,3,0
Whiscash,340,"['Oblivious', 'Anticipation', 'Hydration']",78,75,Whiskers Pokémon,73,0.9,110,76,71,60,water,ground,23.6,3,0
Kirlia,281,"['Synchronize', 'Trace', 'Telepathy']",35,120,Emotion Pokémon,35,0.8,38,65,55,50,psychic,fairy,20.2,3,0
Masquerain,284,"['Intimidate', 'Unnerve']",60,75,Eyeball Pokémon,62,0.8,70,100,82,80,bug,flying,3.6,3,0
Slakoth,287,['Truant'],60,255,Slacker Pokémon,60,0.8,60,35,35,30,normal,,24,3,0
Ninjask,291,"['Speed Boost', 'Infiltrator']",90,120,Ninja Pokémon,45,0.8,61,50,50,160,bug,flying,12,3,0
Shedinja,292,['Wonder Guard'],90,45,Shed Pokémon,45,0.8,1,30,30,40,bug,ghost,1.2,3,0
Carvanha,318,"['Rough Skin', 'Speed Boost']",90,225,Savage Pokémon,20,0.8,45,65,20,65,water,dark,20.8,3,0
Duskull,355,"['Levitate', 'Frisk']",40,190,Requiem Pokémon,90,0.8,20,30,90,25,ghost,,15,3,0
Spheal,363,"['Thick Fat', 'Ice Body', 'Oblivious']",40,255,Clap Pokémon,50,0.8,70,55,50,25,ice,water,39.5,3,0
Marshtomp,259,"['Torrent', 'Damp']",85,45,Mud Fish Pokémon,70,0.7,70,60,70,50,water,ground,28,3,0
Cascoon,268,['Shed Skin'],35,120,Cocoon Pokémon,55,0.7,50,25,25,15,bug,,11.5,3,0
Swellow,277,"['Guts', 'Scrappy']",85,45,Swallow Pokémon,60,0.7,60,75,50,125,normal,flying,19.8,3,0
Volbeat,313,"['Illuminate', 'Swarm', 'Prankster']",73,150,Firefly Pokémon,75,0.7,65,47,85,85,bug,,17.7,3,0
Numel,322,"['Oblivious', 'Simple', 'Own Tempo']",60,255,Numb Pokémon,40,0.7,60,65,45,35,fire,ground,24,3,0
Spoink,325,"['Thick Fat', 'Own Tempo', 'Gluttony']",25,255,Bounce Pokémon,35,0.7,60,70,80,60,psychic,,30.6,3,0
Trapinch,328,"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",100,255,Ant Pit Pokémon,45,0.7,45,45,45,10,ground,,15,3,0
Anorith,347,"['Battle Armor', 'Swift Swim']",95,45,Old Shrimp Pokémon,50,0.7,45,40,50,75,rock,bug,12.5,3,0
Snorunt,361,"['Inner Focus', 'Ice Body', 'Moody']",50,190,Snow Hat Pokémon,50,0.7,50,50,50,50,ice,,16.8,3,0
Silcoon,266,['Shed Skin'],35,120,Cocoon Pokémon,55,0.6,50,25,25,15,bug,,10,3,0
Wingull,278,"['Keen Eye', 'Hydration', 'Rain Dish']",30,190,Seagull Pokémon,30,0.6,40,55,30,85,water,flying,9.5,3,0
Whismur,293,"['Soundproof', 'Rattled']",51,190,Whisper Pokémon,23,0.6,64,51,23,28,normal,,16.3,3,0
Skitty,300,"['Cute Charm', 'Normalize', 'Wonder Skin ']",45,255,Kitten Pokémon,45,0.6,50,35,35,50,normal,,11,3,0
Mawile,303,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",105,45,Deceiver Pokémon,125,0.6,50,55,95,50,steel,fairy,11.5,3,0
Meditite,307,"['Pure Power', 'Telepathy']",40,180,Meditate Pokémon,55,0.6,30,40,55,60,fighting,psychic,11.2,3,0
Electrike,309,"['Static', 'Lightningrod', 'Minus']",45,120,Lightning Pokémon,40,0.6,40,65,40,65,electric,,15.2,3,0
Illumise,314,"['Oblivious', 'Tinted Lens', 'Prankster']",47,150,Firefly Pokémon,75,0.6,65,73,85,85,bug,,17.7,3,0
Corphish,341,"['Hyper Cutter', 'Shell Armor', 'Adaptability']",80,205,Ruffian Pokémon,65,0.6,43,50,35,35,water,,11.5,3,0
Feebas,349,"['Swift Swim', 'Oblivious', 'Adaptability']",15,255,Fish Pokémon,20,0.6,20,10,55,80,water,,7.4,3,0
Shuppet,353,"['Insomnia', 'Frisk', 'Cursed Body']",75,225,Puppet Pokémon,35,0.6,44,63,33,45,ghost,,2.3,3,0
Chimecho,358,['Levitate'],50,45,Wind Chime Pokémon,80,0.6,75,95,90,65,psychic,,1,3,0
Wynaut,360,"['Shadow Tag', 'Telepathy']",23,125,Bright Pokémon,48,0.6,95,23,48,23,psychic,,14,3,0
Luvdisc,370,"['Swift Swim', 'Hydration']",30,225,Rendezvous Pokémon,55,0.6,43,40,65,97,water,,8.7,3,0
Bagon,371,"['Rock Head', 'Sheer Force']",75,45,Rock Head Pokémon,60,0.6,45,40,30,50,dragon,,42.1,3,0
Beldum,374,"['Clear Body', 'Light Metal']",55,3,Iron Ball Pokémon,80,0.6,40,35,60,30,steel,psychic,95.2,3,0
Treecko,252,"['Overgrow', 'Unburden']",45,45,Wood Gecko Pokémon,35,0.5,40,65,55,70,grass,,5,3,0
Poochyena,261,"['Run Away', 'Quick Feet', 'Rattled']",55,255,Bite Pokémon,35,0.5,35,30,30,35,dark,,13.6,3,0
Linoone,264,"['Pickup', 'Gluttony', 'Quick Feet']",70,90,Rush Pokémon,61,0.5,78,50,61,100,normal,,32.5,3,0
Lotad,270,"['Swift Swim', 'Rain Dish', 'Own Tempo']",30,255,Water Weed Pokémon,30,0.5,40,40,50,30,water,grass,2.6,3,0
Seedot,273,"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,255,Acorn Pokémon,50,0.5,40,30,30,30,grass,,4,3,0
Surskit,283,"['Swift Swim', 'Rain Dish']",30,200,Pond Skater Pokémon,32,0.5,40,50,52,65,bug,water,1.7,3,0
Nincada,290,"['Compoundeyes', 'Run Away']",45,255,Trainee Pokémon,90,0.5,31,30,30,40,bug,ground,5.5,3,0
Sableye,302,"['Keen Eye', 'Stall', 'Prankster']",85,45,Darkness Pokémon,125,0.5,50,85,115,20,dark,ghost,11,3,0
Torkoal,324,"['White Smoke', 'Drought', 'Shell Armor']",85,90,Coal Pokémon,140,0.5,70,85,70,20,fire,,80.4,3,0
Baltoy,343,['Levitate'],40,255,Clay Doll Pokémon,55,0.5,40,40,70,55,ground,psychic,21.5,3,0
Torchic,255,"['Blaze', 'Speed Boost']",60,45,Chick Pokémon,40,0.4,45,70,50,45,fire,,2.5,3,0
Mudkip,258,"['Torrent', 'Damp']",70,45,Mud Fish Pokémon,50,0.4,50,50,50,40,water,,7.6,3,0
Zigzagoon,263,"['Pickup', 'Gluttony', 'Quick Feet']",30,255,Tiny Racoon Pokémon,41,0.4,38,30,41,60,normal,,17.5,3,0
Ralts,280,"['Synchronize', 'Trace', 'Telepathy']",25,235,Feeling Pokémon,25,0.4,28,45,35,40,psychic,fairy,6.6,3,0
Shroomish,285,"['Effect Spore', 'Poison Heal', 'Quick Feet']",40,255,Mushroom Pokémon,60,0.4,60,40,60,35,grass,,4.5,3,0
Aron,304,"['Sturdy', 'Rock Head', 'Heavy Metal']",70,180,Iron Armor Pokémon,100,0.4,50,40,40,30,steel,rock,60,3,0
Plusle,311,"['Plus', 'Lightningrod']",50,200,Cheering Pokémon,40,0.4,60,85,75,95,electric,,4.2,3,0
Minun,312,"['Minus', 'Volt Absorb']",40,200,Cheering Pokémon,50,0.4,60,75,85,95,electric,,4.2,3,0
Gulpin,316,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",43,225,Stomach Pokémon,53,0.4,70,43,53,40,poison,,10.3,3,0
Cacnea,331,"['Sand Veil', 'Water Absorb']",85,190,Cactus Pokémon,40,0.4,50,85,40,35,grass,,51.3,3,0
Swablu,333,"['Natural Cure', 'Cloud Nine']",40,255,Cotton Bird Pokémon,60,0.4,45,40,75,50,normal,flying,1.2,3,0
Barboach,339,"['Oblivious', 'Anticipation', 'Hydration']",48,190,Whiskers Pokémon,43,0.4,50,46,41,60,water,ground,1.9,3,0
Clamperl,366,"['Shell Armor', 'Rattled']",64,255,Bivalve Pokémon,85,0.4,35,74,55,32,water,,52.5,3,0
Wurmple,265,"['Shield Dust', 'Run Away']",45,255,Worm Pokémon,35,0.3,45,20,30,20,bug,,3.6,3,0
Taillow,276,"['Guts', 'Scrappy']",55,200,TinySwallow Pokémon,30,0.3,40,30,30,85,normal,flying,2.3,3,0
Roselia,315,"['Natural Cure', 'Poison Point', 'Leaf Guard']",60,150,Thorn Pokémon,45,0.3,50,100,80,65,grass,poison,2,3,0
Castform,351,['Forecast'],70,45,Weather Pokémon,70,0.3,70,70,70,70,normal,,0.8,3,0
Jirachi,385,['Serene Grace'],100,3,Wish Pokémon,100,0.3,100,100,100,100,steel,psychic,1.1,3,1
Azurill,298,"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,150,Polka Dot Pokémon,40,0.2,50,20,40,20,normal,fairy,2,3,0
Dialga,483,"['Pressure', 'Telepathy']",120,3,Temporal Pokémon,120,5.4,100,150,100,90,steel,dragon,683,4,1
Giratina,487,"['Pressure', 'Telepathy', 'Levitate']",120,3,Renegade Pokémon,100,4.5,150,120,100,90,ghost,dragon,750,4,1
Palkia,484,"['Pressure', 'Telepathy']",120,3,Spatial Pokémon,100,4.2,90,150,120,100,water,dragon,336,4,1
Regigigas,486,['Slow Start'],160,3,Colossal Pokémon,110,3.7,110,80,110,100,normal,,420,4,1
Arceus,493,['Multitype'],120,3,Alpha Pokémon,120,3.2,120,120,120,120,normal,,320,4,1
Mamoswine,473,"['Oblivious', 'Snow Cloak', 'Thick Fat']",130,50,Twin Tusk Pokémon,80,2.5,110,70,60,80,ice,ground,291,4,0
Rhyperior,464,"['Lightningrod', 'Solid Rock', 'Reckless']",140,30,Drill Pokémon,130,2.4,115,55,55,40,ground,rock,282.8,4,0
Torterra,389,"['Overgrow', 'Shell Armor']",109,45,Continent Pokémon,105,2.2,95,75,85,56,grass,ground,310,4,0
Abomasnow,460,"['Snow Warning', 'Soundproof']",132,60,Frosted Tree Pokémon,105,2.2,90,132,105,30,grass,ice,135.5,4,0
Dusknoir,477,"['Pressure', 'Frisk']",100,45,Gripper Pokémon,135,2.2,45,65,135,45,ghost,,106.6,4,0
